epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73115,1.14258,3.36779,1.04556,0.006,0.72,0.01058,0.00767,0.90462,3.42137,0.85057,0.0001,0.0001,0.0001
2,7.56155,1.14073,2.96438,1.00799,0.00733,0.88,0.09941,0.05731,0.7601,3.35084,0.8309,0.00021637,0.00021637,0.00021637
3,9.57217,1.09142,1.74585,0.99491,0.00767,0.92,0.22884,0.10502,0.93396,3.32868,0.86261,0.00032878,0.00032878,0.00032878
4,11.6146,1.0741,1.28448,0.98149,0.00767,0.92,0.21323,0.07821,0.96774,3.29159,0.88598,0.00043723,0.00043723,0.00043723
5,14.5687,1.06592,1.26801,1.00872,0.00667,0.8,0.03194,0.01905,0.89111,3.36888,0.8972,0.00054172,0.00054172,0.00054172
6,16.9132,1.07781,1.24343,0.99504,0.008,0.96,0.05172,0.01767,0.92216,3.42215,0.93455,0.00064225,0.00064225,0.00064225
7,18.8575,1.04699,1.18546,0.97338,0.00767,0.92,0.0179,0.01075,1.02908,3.48513,0.94196,0.00073882,0.00073882,0.00073882
8,20.5627,1.06221,1.15678,0.96662,0.006,0.72,0.00948,0.00517,0.94325,3.61108,0.99464,0.00083143,0.00083143,0.00083143
9,22.4208,1.04492,1.07644,0.9784,0.00733,0.88,0.01789,0.00795,0.98723,3.44521,0.9408,0.00092008,0.00092008,0.00092008
10,24.2912,1.0995,1.03744,0.99385,0.006,0.72,0.01062,0.00555,1.05988,3.37034,0.94279,0.00100477,0.00100477,0.00100477
11,26.2775,1.02321,1.0459,0.97255,0.006,0.72,0.03917,0.03238,1.04704,3.34261,0.94987,0.0010855,0.0010855,0.0010855
12,29.0772,1.00771,0.96339,0.96937,0.007,0.84,0.16446,0.13244,1.00108,3.15434,0.9303,0.00116227,0.00116227,0.00116227
13,31.3712,0.96833,0.95603,0.96834,1,0.15885,0.37208,0.27907,1.06961,2.77744,0.92731,0.00123508,0.00123508,0.00123508
14,33.3386,1.06452,0.98399,0.99297,1,0.25768,0.46199,0.34206,1.10026,2.67614,0.93077,0.00130393,0.00130393,0.00130393
15,35.1602,1.04847,0.99244,0.99769,1,0.36751,0.69427,0.47312,1.08052,2.49408,0.92417,0.00136882,0.00136882,0.00136882
16,37.0537,0.9984,0.95923,0.95251,1,0.52101,0.74455,0.53177,1.05937,2.07323,0.92842,0.00142975,0.00142975,0.00142975
17,38.8701,0.9493,0.86059,0.94826,1,0.55081,0.81877,0.58891,1.04452,1.91869,0.92239,0.001472,0.001472,0.001472
18,41.0985,1.02916,0.97439,0.98357,0.94637,0.70633,0.94917,0.65484,1.0349,1.61519,0.9044,0.001439,0.001439,0.001439
19,44.0859,1.02151,1.00022,0.95491,0.94879,0.74168,0.96896,0.67536,1.07957,1.59473,0.93271,0.001406,0.001406,0.001406
20,45.9902,0.98206,0.90149,0.96772,0.91785,0.89419,0.95206,0.67745,1.08244,1.40864,0.93855,0.001373,0.001373,0.001373
21,47.8594,0.99208,0.86166,0.95275,0.91982,0.9179,0.95045,0.68924,1.0516,1.27128,0.93502,0.00134,0.00134,0.00134
22,49.7807,0.95376,0.87209,0.95252,0.88076,0.84,0.94274,0.67611,1.01889,1.23012,0.94761,0.001307,0.001307,0.001307
23,51.5604,0.97693,0.87474,0.95398,0.86125,0.92,0.94889,0.64796,1.05126,1.17823,0.95618,0.001274,0.001274,0.001274
24,53.3143,0.96636,0.85832,0.94756,0.91197,0.96,0.9646,0.66897,1.06116,1.0322,0.96304,0.001241,0.001241,0.001241
25,55.6904,0.9505,0.87497,0.93474,0.89719,0.96,0.97915,0.70152,0.99483,0.93144,0.943,0.001208,0.001208,0.001208
26,58.5529,0.88107,0.78272,0.92595,0.95063,0.96,0.99071,0.73065,0.98994,0.87035,0.93167,0.001175,0.001175,0.001175
27,60.2549,0.91479,0.7951,0.92159,0.97278,0.96,0.99346,0.70658,1.02034,0.83085,0.93878,0.001142,0.001142,0.001142
28,62.2351,0.91838,0.75328,0.92871,0.98402,1,0.995,0.69454,1.05586,0.77186,0.93725,0.001109,0.001109,0.001109
29,63.8979,0.88426,0.75726,0.90443,0.92587,0.99926,0.98437,0.64033,1.07466,0.81302,0.94238,0.001076,0.001076,0.001076
30,65.7553,0.90914,0.76568,0.93858,0.92125,0.96,0.97418,0.64677,0.95949,0.82519,0.92309,0.001043,0.001043,0.001043
31,67.5297,0.94735,0.76794,0.90791,0.92241,0.9513,0.97491,0.65962,0.99868,0.77988,0.92545,0.00101,0.00101,0.00101
32,69.9127,0.92478,0.76633,0.94099,0.92292,1,0.99044,0.67904,0.95586,0.68858,0.91124,0.000977,0.000977,0.000977
33,72.7088,0.89076,0.7256,0.92886,0.96118,0.99075,0.99038,0.69448,0.93702,0.65244,0.91495,0.000944,0.000944,0.000944
34,74.5954,0.94931,0.69699,0.92323,0.94728,1,0.98731,0.68946,0.92425,0.59196,0.90959,0.000911,0.000911,0.000911
35,76.492,0.91871,0.70656,0.92266,0.945,1,0.98731,0.70631,0.95251,0.61515,0.91445,0.000878,0.000878,0.000878
36,78.2644,0.90568,0.72473,0.90575,0.93055,1,0.98577,0.73997,0.90011,0.6137,0.91739,0.000845,0.000845,0.000845
37,80.0717,0.85565,0.66558,0.92059,0.91954,1,0.98404,0.71715,0.86329,0.57253,0.91349,0.000812,0.000812,0.000812
38,81.8961,0.84936,0.64069,0.92012,0.91928,1,0.98724,0.70172,0.94541,0.60598,0.92461,0.000779,0.000779,0.000779
39,84.2675,0.83662,0.67945,0.90449,0.92413,1,0.98885,0.69346,0.99793,0.60518,0.93512,0.000746,0.000746,0.000746
40,87.0293,0.85931,0.65441,0.92034,0.91795,1,0.98564,0.71293,0.93448,0.59305,0.92139,0.000713,0.000713,0.000713
41,88.912,0.83048,0.6738,0.89692,0.91795,1,0.98407,0.751,0.87639,0.58376,0.91322,0.00068,0.00068,0.00068
42,90.7077,0.848,0.66942,0.92985,0.9259,0.99962,0.98564,0.7654,0.87076,0.57391,0.91736,0.000647,0.000647,0.000647
43,92.5439,0.8418,0.67996,0.93038,0.92559,0.99533,0.98724,0.745,0.87175,0.56518,0.91821,0.000614,0.000614,0.000614
44,94.339,0.79023,0.61548,0.92004,0.92556,0.99484,0.98574,0.71497,0.88098,0.56356,0.91414,0.000581,0.000581,0.000581
