epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3532,1.43259,8.16056,0.68978,2.19363,1.08232,0.80167,0.85,0.88854,0.53461,0,0,0,0,1.19523,8.27755,0.67388,1.11889,0.85419,0.0005,0.0005,0.0005
2,32.0906,0.8874,5.98619,0.63268,0.63616,0.88876,0.65172,0.84233,0.67033,0.47981,0.08469,0.1,0.01196,0.00239,0.87713,6.25191,0.62439,1.27841,0.85609,0.00101491,0.00101491,0.00101491
3,44.2337,0.85585,5.09359,0.59856,0.56837,0.88239,0.97577,0.9,0.97192,0.71561,0.50597,0.45,0.33838,0.05715,0.84389,5.00133,0.57629,0.67169,0.81483,0.00152464,0.00152464,0.00152464
4,55.7029,0.82627,4.60481,0.57234,0.53698,0.86171,0.97726,0.95,0.97833,0.72033,0.46661,0.45,0.28697,0.04816,0.80477,4.41102,0.52711,0.62992,0.81766,0.00197007,0.00197007,0.00197007
5,68.5816,0.80819,4.27256,0.53985,0.51533,0.85926,1,0.94972,0.99262,0.79875,0.65199,0.6,0.40639,0.07698,0.69579,4.0211,0.4843,0.51619,0.80485,0.0019601,0.0019601,0.0019601
6,81.1916,0.76136,4.00256,0.50981,0.47392,0.85486,1,0.98241,0.995,0.77353,0.55357,0.5,0.34864,0.07591,0.79867,4.21148,0.4574,0.43132,0.82844,0.00195012,0.00195012,0.00195012
7,94.0572,0.81309,3.98713,0.49404,0.49999,0.85862,0.99491,0.95,0.98346,0.74583,0.75714,0.7,0.55834,0.09629,0.7756,3.96684,0.42551,0.46898,0.80729,0.00194015,0.00194015,0.00194015
8,106.648,0.7636,3.8362,0.46437,0.46876,0.85853,0.94951,1,0.99262,0.764,0.78276,0.75,0.61335,0.14087,0.78938,3.75702,0.39994,0.44153,0.80902,0.00193018,0.00193018,0.00193018
9,119.237,0.70908,3.73912,0.45231,0.45774,0.84953,0.95227,0.99764,0.99262,0.82646,0.70902,0.6,0.46754,0.08144,0.62095,3.89207,0.3747,0.40122,0.80182,0.0019202,0.0019202,0.0019202
10,132.317,0.65928,3.73101,0.42927,0.42446,0.83784,1,0.99529,0.995,0.83435,0.78575,0.75,0.62934,0.12136,0.61271,3.8494,0.34139,0.40573,0.79043,0.00191022,0.00191022,0.00191022
11,144.349,0.68823,3.73134,0.41903,0.42821,0.83923,0.9955,0.95,0.99262,0.75404,0.89062,0.85,0.77702,0.22839,0.73527,3.25547,0.32652,0.41329,0.81912,0.00190025,0.00190025,0.00190025
12,156.359,0.70215,3.66907,0.41821,0.42666,0.84185,0.99625,0.95,0.98204,0.81717,0.73207,0.55,0.54289,0.09465,0.63904,3.80437,0.31427,0.41291,0.79912,0.00189028,0.00189028,0.00189028
13,169.079,0.65448,3.59525,0.40382,0.42819,0.83458,1,0.99797,0.995,0.79442,0.88257,0.85,0.78847,0.18344,0.63577,3.31693,0.30241,0.42525,0.79991,0.0018803,0.0018803,0.0018803
14,181.828,0.66304,3.49584,0.38623,0.41296,0.83182,1,0.99798,0.995,0.82099,0.9876,0.95,0.94907,0.35038,0.64979,2.8071,0.29674,0.41463,0.79638,0.00187033,0.00187033,0.00187033
15,194.449,0.66033,3.4603,0.39169,0.41793,0.8402,1,0.9987,0.995,0.82309,0.78431,0.75,0.65985,0.13383,0.62391,3.38881,0.28215,0.38112,0.80651,0.00186035,0.00186035,0.00186035
16,207.383,0.66676,3.4907,0.37791,0.41904,0.83223,1,0.99091,0.995,0.82495,0.98178,0.95,0.94938,0.25865,0.63562,3.01913,0.27851,0.43944,0.78894,0.00185038,0.00185038,0.00185038
