epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2698,1.4349,5.22354,0.76133,2.12161,1.06829,0.90304,0.875,0.93795,0.70998,0.72817,0.66983,0.70171,0.08291,0.78291,4.51311,0.68766,0.82042,0.87043,0.00052,0.00052,0.00052
2,33.7761,0.97768,2.98667,0.84549,0.67787,0.89492,0.95612,1,0.9918,0.7648,0.94296,0.95833,0.95436,0.24461,0.79438,3.18019,0.74014,0.7683,0.8906,0.00104951,0.00104951,0.00104951
3,47.7823,0.90231,2.30343,0.8065,0.59571,0.88016,0.95327,1,0.965,0.77255,0.9134,0.95833,0.92534,0.50947,0.77218,2.00068,0.7215,0.613,0.87878,0.00156832,0.00156832,0.00156832
4,61.3472,0.86906,1.91389,0.72829,0.54706,0.87484,1,0.99065,0.995,0.79994,0.9952,0.95833,0.95993,0.56057,0.75983,1.55211,0.67762,0.50223,0.8793,0.0019406,0.0019406,0.0019406
5,75.2998,0.79868,1.79161,0.64612,0.52005,0.86776,0.95456,1,0.9934,0.83321,0.99511,0.95833,0.95931,0.59913,0.68748,1.48413,0.60985,0.44672,0.85959,0.0019208,0.0019208,0.0019208
6,88.9257,0.78589,1.7302,0.58276,0.51764,0.85326,1,0.99699,0.995,0.84507,0.99284,0.95833,0.95988,0.60106,0.63581,1.47829,0.53265,0.39229,0.84364,0.001901,0.001901,0.001901
7,102.839,0.78631,1.66291,0.52753,0.49246,0.85064,1,0.95657,0.9934,0.84363,1,0.95657,0.96006,0.63254,0.59621,1.42615,0.47955,0.41103,0.84169,0.0018812,0.0018812,0.0018812
8,116.904,0.75829,1.53814,0.47293,0.48149,0.85457,0.99758,1,0.995,0.84741,0.98597,0.95833,0.96063,0.62009,0.59533,1.42835,0.41638,0.38097,0.84787,0.0018614,0.0018614,0.0018614
9,130.925,0.74377,1.52394,0.43222,0.47422,0.85409,0.95432,1,0.9918,0.82078,0.95432,1,0.9918,0.56204,0.60556,1.51273,0.38301,0.4124,0.8465,0.0018416,0.0018416,0.0018416
10,144.939,0.71824,1.39735,0.36846,0.44647,0.8409,0.95642,1,0.9902,0.84302,0.95642,1,0.9902,0.60176,0.6094,1.40584,0.33294,0.45509,0.83998,0.0018218,0.0018218,0.0018218
11,158.708,0.74367,1.38119,0.3453,0.45813,0.8475,0.99228,1,0.995,0.86224,0.99228,1,0.995,0.60813,0.57959,1.40427,0.30091,0.40028,0.83999,0.001802,0.001802,0.001802
